# Per-model hold q on the hand layout for all 6,723 BPMN models in the 15-40 band,
# the population behind results/bpmn_representativeness.py and the paper's 0.87.
# Source: bpmai.tar.gz, sha256 7c40fe0c13f78943f1600f09203c30d83c41fd6c71b81902367bf057a73f947a.
# Funnel: 29,810 models archived; parsers/parse_bpmn.py parses 21,784 (>= 10 nodes, >= 1 edge);
# 13,435 have every edge a BPMN flow or association; data/make_corpus.py --bpmn keeps their
# largest component of 15 to 40 nodes, 6,723 graphs (bpmn_all.txt); data/bpmn.txt is the first 300 by id.
# Each column is the q of `station direct --corpus bpmn_all.txt --weights W`, one weight set:
# overlap 0,1,0,0,0,0,0,0; length 0,0,1,0,0,0,0,0 (--L fit); stress 0,0,0,1,0,0,0,0;
# alignA1 0,0,0,0,0,1,0,0 --align a1; flow 0,0,0,0,0,0,0,1.
id,overlap,length,stress,alignA1,flow
1000193243.json,1.000000,0.000000,0.000000,0.913043,1.000000
1000300408.json,1.000000,0.000000,0.000000,1.000000,0.863636
1000419154.json,1.000000,0.000000,0.000000,0.666667,0.476190
1000531133.json,1.000000,0.062500,0.125000,0.250000,1.000000
1000677292.json,1.000000,0.000000,0.062500,0.812500,0.562500
1000796620.json,1.000000,0.000000,0.000000,1.000000,1.000000
1001469544.json,1.000000,0.000000,0.100000,1.000000,0.850000
100193728.json,1.000000,0.000000,0.000000,1.000000,0.875000
1002498967.json,1.000000,0.000000,0.000000,1.000000,0.800000
1002500217.json,1.000000,0.000000,0.000000,1.000000,0.727273
1002807019.json,1.000000,0.000000,0.000000,0.296296,0.555556
1003089711.json,1.000000,0.000000,0.000000,0.562500,0.750000
100343055.json,1.000000,0.000000,0.000000,0.888889,0.722222
1004168502.json,1.000000,0.000000,0.000000,0.727273,0.909091
1004323525.json,1.000000,0.000000,0.100000,0.750000,0.900000
1004444520.json,1.000000,0.000000,0.086957,1.000000,1.000000
1004966509.json,1.000000,0.000000,0.000000,1.000000,0.550000
1005251135.json,1.000000,0.000000,0.000000,1.000000,0.806452
1005631758.json,1.000000,0.000000,0.000000,0.586207,0.551724
1005636596.json,1.000000,0.000000,0.000000,0.937500,0.906250
1005740445.json,1.000000,0.000000,0.000000,0.217391,1.000000
1005845225.json,0.750000,0.000000,0.000000,0.625000,1.000000
1005931207.json,1.000000,0.000000,0.000000,0.882353,0.764706
1006305221.json,1.000000,0.000000,0.000000,1.000000,0.904762
1006453108.json,1.000000,0.000000,0.000000,0.888889,0.555556
1006741644.json,1.000000,0.000000,0.000000,1.000000,1.000000
1006854202.json,1.000000,0.000000,0.000000,0.842105,1.000000
1007265822.json,1.000000,0.000000,0.000000,1.000000,0.882353
1007624702.json,1.000000,0.000000,0.000000,1.000000,0.866667
1007769308.json,1.000000,0.000000,0.000000,0.842105,0.578947
1008414191.json,1.000000,0.000000,0.000000,0.800000,0.666667
1008690213.json,0.916667,0.000000,0.000000,0.541667,1.000000
1008939313.json,1.000000,0.000000,0.000000,1.000000,0.576923
1009034808.json,1.000000,0.000000,0.000000,0.406250,0.937500
1009212273.json,1.000000,0.000000,0.000000,0.866667,0.733333
1009232864.json,0.636364,0.000000,0.000000,0.636364,0.909091
1009926561.json,1.000000,0.000000,0.000000,0.814815,0.777778
1010632691.json,1.000000,0.000000,0.000000,0.450000,0.800000
101085585.json,1.000000,0.000000,0.000000,1.000000,0.866667
1011361322.json,1.000000,0.000000,0.000000,1.000000,0.913043
1011518868.json,1.000000,0.000000,0.000000,1.000000,0.851852
1011606688.json,1.000000,0.000000,0.000000,1.000000,0.684211
1011817112.json,1.000000,0.187500,0.000000,1.000000,0.812500
101213990.json,1.000000,0.000000,0.000000,0.913043,1.000000
1012220286.json,1.000000,0.000000,0.000000,0.628571,0.685714
