id,author
Hs_11p11.2_copy_number_variation_syndrome__WP5348_20260223,Melrose2023
Hs_15q11q13_copy_number_variation_WP5407_20250721,Fehrhart
Hs_16p12.2_copy_number_variation_syndrome_(520kb)_WP5510_20250713,Alval
Hs_22q11.2_copy_number_variation_syndrome_WP4657_20260209,Fehrhart
Hs_2q13_copy_number_variation_syndrome_WP5222_20260319,Shad4
Hs_2q37_copy_number_variation_syndrome_WP5224_20250910,Shad4
Hs_3q29_copy_number_variation_syndrome_WP4906_20250815,Fehrhart
Hs_5q35_copy_number_variation_WP5380_20250913,Ewoud
Hs_ACE2_inhibition_leads_to_pulmonary_fibrosis_WP5035_20240723,Marvin M2
Hs_ACE_inhibitor_pathway_WP554_20250710,C.F.Thorn
Hs_ALA_oxylipin_metabolism_WP5136_20251030,Lcayer
Hs_Acetylcholine_synthesis_WP528_20250530,A.Kwa
Hs_Aerobic_glycolysis_-_augmented_WP4628_20250923,KJanssen
Hs_Aflatoxin_B1_metabolism_WP699_20260531,Pieter Giesbertz
Hs_Age-related_macular_degeneration_WP5526_20251030,Eweitz
Hs_Airway_smooth_muscle_cell_contraction_WP4962_20250714,Angelcymak
Hs_Alpha_6_beta_4_signaling_WP244_20251030,A.Pandey
Hs_Alstrom_syndrome_WP5202_20251108,MvanderPas
Hs_Amino_acid_metabolism_in_triple-negative_breast_cancer_cells_WP5213_20260707,Andra
Hs_Amino_acid_metabolism_pathway_excerpt:_histidine_catabolism_extension_WP4661_20251030,Krizzukas
Hs_Amyotrophic_lateral_sclerosis_(ALS)_WP2447_20250715,Ariutta
Hs_Angiogenesis_overview_WP1993_20250910,Helix
Hs_Angiopoietin-like_protein_8_regulatory_pathway_WP3915_20251030,Siddiqa
Hs_Angiotensin_II_receptor_type_1_pathway_WP5036_20250705,Marvin M2
Hs_Apoptosis_WP254_20251031,A.C.Zambon
Hs_Apoptosis_modulation_and_signaling_WP1772_20250714,Felix555
Hs_Arsenic_metabolism_and_reactive_oxygen_species_generation_WP5233_20250709,ZDLech
Hs_Aspirin_and_miRNAs_WP4707_20260208,Aminkhazeei
Hs_Autophagy_in_pancreatic_ductal_adenocarcinoma_WP5331_20251031,Ncananfiliz
Hs_Axon_guidance_WP5289_20250728,LLadeira
Hs_BDNF-TrkB_signaling_WP3676_20250706,AAR&amp;amp;Co
Hs_BMP_signaling_in_eyelid_development_WP3927_20250311,Khanspers
Hs_Benzene_metabolism_WP3891_20251101,Riannefijten
Hs_Benzo(a)pyrene_metabolism_WP696_20251101,Pieter Giesbertz
Hs_Bile_acid_synthesis_and_enterohepatic_circulation__WP4389_20251101,VioletH
Hs_Biomarkers_for_urea_cycle_disorders_WP4583_20251026,IreneHemel
Hs_Biosynthesis_and_turnover_of_1-deoxy-sphingoid_bases_WP5179_20250622,RoelvO5
Hs_Biotin_metabolism__including_IMDs_WP5031_20251101,DeSl
Hs_Blood_clotting_and_drug_effects_WP4580_20251101,Chris
Hs_Brain-derived_neurotrophic_factor_(BDNF)_signaling_WP2380_20251102,NetPath
Hs_Caffeine_and_theobromine_metabolism_WP3633_20251103,Egonw
Hs_Calcium_mediated_T-cell_apoptosis_involved_in_inclusion_body_myositis_WP5142_20250731,TheodorosZarotiadis
Hs_Cannabinoid_receptor_signaling_WP3869_20251103,Fehrhart
Hs_Cardiac_hypertrophic_response_WP2795_20250715,Mkutmon
Hs_Cardiomyocyte_signaling_converging_on_titin_WP5344_20250722,Bep3.14e
Hs_Catabolism_of_skeletal_muscle_in_cachexia_WP5474_20251103,Nberk
Hs_Cell_lineage_map_for_neuronal_differentiation_WP5417_20250709,Pennings
Hs_Cerebral_organic_acidurias__including_diseases_WP4519_20251001,BrittPieters
Hs_Cholestasis_WP5238_20251103,VPencheva
Hs_Cholesterol_biosynthesis_pathway_WP197_20251104,M.Lieberman
Hs_Cholesterol_biosynthesis_with_skeletal_dysplasias_WP4804_20251104,Rlee
Hs_Cholesterol_synthesis_disorders_WP5193_20251104,EvelinePeterse
Hs_Chronic_hyperglycemia_impairment_of_neuron_function_WP5283_20250721,Egonw
Hs_Cocaine_metabolism_WP2826_20251107,Andra
Hs_Codeine_and_morphine_metabolism_WP1604_20251231,Khanspers
Hs_Complement_and_coagulation_cascades_WP558_20251107,169.230.77.174
Hs_Complement_system_in_neuronal_development_and_plasticity_WP5090_20250819,LKoole
Hs_Congenital_generalized_lipodystrophy_WP5101_20251104,UlasBabayigit
Hs_Creatine_pathway_WP5190_20251104,TimZotti
Hs_DNA_damage_response_(only_ATM_dependent)_WP710_20251104,I379077
Hs_DNA_damage_response_WP707_20251104,I379077
Hs_Dengue-2_interactions_with_complement_and_coagulation_cascades_WP3896_20251107,MaintBot
Hs_Deregulating_cellular_metabolism_through_non-genotoxic_carcinogens_WP5571_20250915,Ana&amp;iuml;s Van Marsenille
Hs_Deregulation_of_Rab_and_Rab_effector_genes_in_bladder_cancer_WP2291_20251104,Anwesha
Hs_Development_of_ureteric_derived_collecting_system_WP5053_20250726,Fehrhart
Hs_Diet-dependent_trimethylamine-trimethylamine_N-oxide_metabolism__WP5219_20251120,Nvalenbreder
Hs_Disorders_in_ketolysis_WP5195_20251111,SamDrabbe
Hs_Disorders_in_ketone_body_synthesis_WP5175_20251001,SamDrabbe
Hs_Disorders_of_fructose_metabolism_WP5178_20251112,EnzoChiaradia
Hs_Disorders_of_galactose_metabolism__WP5173_20260703,Alexandrabosch
Hs_Disorders_of_mitochondrial_homeostatis__dynamics__protein_import__and_quality_control_WP5504_20251112,Egonw
Hs_Dopamine_metabolism_WP2436_20250630,Mostaszewski
Hs_Dopaminergic_neurogenesis_WP2855_20251112,Nsalomonis
Hs_Dravet_syndrome_WP5200_20250808,MiriamBabukhian
Hs_EGF-EGFR_signaling_WP437_20251112,A.Pandey
Hs_Effect_of_omega-3_PUFA_on_Huntington&#39;s_disease_pathways_WP5470_20251120,KimberleyBijl
Hs_Effect_of_progerin_on_genes_involved_in_progeria_WP4320_20251120,Lorasimons
Hs_Eicosanoid_metabolism_via_cytochrome_P450_monooxygenases_pathway_WP4720_20250708,DeSl
Hs_Endochondral_ossification_WP474_20251202,LarsEijssen
Hs_Endochondral_ossification_with_skeletal_dysplasias_WP4808_20251121,Rlee
Hs_Epithelial_to_mesenchymal_transition_in_colorectal_cancer_WP4239_20250720,Khanspers
Hs_Estrogen_signaling_WP712_20251121,Lauravanzon
